brand,url,image_url,collection,reference,price,currency,country,year,price_GBP,price_USD,price_JPY,price_EUR
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam00943-luminor-due---45mm.html,https://www.panerai.com/content/dam/rcq/pan/16/49/89/8/1649898.png,LUMINOR-DUE,PAM00943,9900.0,EUR,France,2021,8172.45,10282.14,1547468.01,9900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam00944-luminor-due-gmt-power-reserve---45mm.html,https://www.panerai.com/content/dam/rcq/pan/16/49/90/0/1649900.png,LUMINOR-DUE,PAM00944,10900.0,EUR,France,2021,8997.95,11320.74,1703777.91,10900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00774-luminor-base-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/16/49/90/4/1649904.png,LUMINOR,PAM00774,4900.0,EUR,France,2021,4044.9500000000003,5089.139999999999,765918.51,4900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00775-luminor-base-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/16/49/90/6/1649906.png,LUMINOR,PAM00775,4900.0,EUR,France,2021,4044.9500000000003,5089.139999999999,765918.51,4900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00776-luminor-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/16/49/90/8/1649908.png,LUMINOR,PAM00776,5400.0,EUR,France,2021,4457.7,5608.44,844073.46,5400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00777-luminor-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/16/49/91/0/1649910.png,LUMINOR,PAM00777,5400.0,EUR,France,2021,4457.7,5608.44,844073.46,5400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00778-luminor-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/16/49/91/2/1649912.png,LUMINOR,PAM00778,5400.0,EUR,France,2021,4457.7,5608.44,844073.46,5400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01441-luminor-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/17/12/33/1/1712331.png,LUMINOR,PAM01441,13500.0,EUR,France,2021,11144.25,14021.1,2110183.65,13500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00754-radiomir-black-seal-logo---45mm.html,https://www.panerai.com/content/dam/rcq/pan/17/54/32/1/1754321.png,RADIOMIR,PAM00754,4900.0,EUR,France,2021,4044.9500000000003,5089.139999999999,765918.51,4900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00753-radiomir-base-logo---45mm.html,https://www.panerai.com/content/dam/rcq/pan/17/54/32/2/1754322.png,RADIOMIR,PAM00753,4400.0,EUR,France,2021,3632.2000000000003,4569.84,687763.5599999999,4400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00797-luminor-8-days-power-reserve---44mm.html,https://www.panerai.com/content/dam/rcq/pan/17/68/76/7/1768767.png,LUMINOR,PAM00797,7700.0,EUR,France,2021,6356.35,7997.219999999999,1203586.23,7700.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00795-luminor-8-days-power-reserve---44mm.html,https://www.panerai.com/content/dam/rcq/pan/17/68/77/1/1768771.png,LUMINOR,PAM00795,7200.0,EUR,France,2021,5943.6,7477.92,1125431.28,7200.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00779-luminor-california-8-days-dlc---44mm.html,https://www.panerai.com/content/dam/rcq/pan/17/68/77/2/1768772.png,LUMINOR,PAM00779,7900.0,EUR,France,2021,6521.45,8204.94,1234848.21,7900.0
