brand,url,image_url,collection,reference,price,currency,country,time scope
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00776-luminor-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/16/49/90/8/1649908.png,LUMINOR,PAM00776,5400.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00777-luminor-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/16/49/91/0/1649910.png,LUMINOR,PAM00777,5400.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00778-luminor-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/16/49/91/2/1649912.png,LUMINOR,PAM00778,5400.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01441-luminor-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/17/12/33/1/1712331.png,LUMINOR,PAM01441,13500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00754-radiomir-black-seal-logo---45mm.html,https://www.panerai.com/content/dam/rcq/pan/17/54/32/1/1754321.png,RADIOMIR,PAM00754,4900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00753-radiomir-base-logo---45mm.html,https://www.panerai.com/content/dam/rcq/pan/17/54/32/2/1754322.png,RADIOMIR,PAM00753,4400.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00797-luminor-8-days-power-reserve---44mm.html,https://www.panerai.com/content/dam/rcq/pan/17/68/76/7/1768767.png,LUMINOR,PAM00797,7700.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00795-luminor-8-days-power-reserve---44mm.html,https://www.panerai.com/content/dam/rcq/pan/17/68/77/1/1768771.png,LUMINOR,PAM00795,7200.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00779-luminor-california-8-days-dlc---44mm.html,https://www.panerai.com/content/dam/rcq/pan/17/68/77/2/1768772.png,LUMINOR,PAM00779,7900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00683-submersible---42mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/0/1818650.png,SUBMERSIBLE,PAM00683,9700.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00799-submersible-bmg-tech---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/1/1818651.png,SUBMERSIBLE,PAM00799,14900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00960-submersible-carbotech---42mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/3/1818653.png,SUBMERSIBLE,PAM00960,16900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00961-submersible-marina-militare-carbotech---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/4/1818654.png,SUBMERSIBLE,PAM00961,39900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00979-submersible-marina-militare-carbotech---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/5/1818655.png,SUBMERSIBLE,PAM00979,18900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00982-submersible-chrono-guillaume-nery-edition----47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/6/1818656.png,SUBMERSIBLE,PAM00982,18900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00983-submersible-chrono-guillaume-nery-edition----47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/7/1818657.png,SUBMERSIBLE,PAM00983,38900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00984-submersible-mike-horn-edition---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/65/8/1818658.png,SUBMERSIBLE,PAM00984,19900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01036-luminor-luna-rossa-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/0/1818660.png,LUMINOR,PAM01036,10900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01038-luminor-luna-rossa-regatta---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/2/1818662.png,LUMINOR,PAM01038,23500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01039-submersible-luna-rossa---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/3/1818663.png,SUBMERSIBLE,PAM01039,21000.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01616-submersible-carbotech---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/66/4/1818664.png,SUBMERSIBLE,PAM01616,17400.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00985-submersible-mike-horn-edition---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/18/76/5/1818765.png,SUBMERSIBLE,PAM00985,39900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01033-luminor-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/24/74/0/1824740.png,LUMINOR,PAM01033,9100.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00764-luminor-yachts-challenge---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/71/47/6/1871476.png,LUMINOR,PAM00764,12900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00788-luminor-yachts-challenge---44mm.html,https://www.panerai.com/content/dam/rcq/pan/18/71/47/7/1871477.png,LUMINOR,PAM00788,15500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00977-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/18/95/13/7/1895137.png,LUMINOR,PAM00977,8500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01028-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/18/95/14/1/1895141.png,LUMINOR,PAM01028,8500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00968-submersible-bronzo---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/95/60/5/1895605.png,SUBMERSIBLE,PAM00968,16500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01438-tuttonero-luminor-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/19/05/23/0/1905230.png,LUMINOR,PAM01438,14500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00995-radiomir---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/46/7/1918467.png,RADIOMIR,PAM00995,10900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00997-radiomir---48mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/46/9/1918469.png,RADIOMIR,PAM00997,12900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00998-radiomir-gmt---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/47/2/1918472.png,RADIOMIR,PAM00998,11700.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00973-submersible---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/47/7/1918477.png,SUBMERSIBLE,PAM00973,8700.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00974-submersible---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/47/8/1918478.png,SUBMERSIBLE,PAM00974,26500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam01029-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/48/0/1918480.png,LUMINOR-DUE,PAM01029,15400.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam00927-luminor-due---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/31/49/9/1931499.png,LUMINOR-DUE,PAM00927,7200.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam00926-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/31/50/0/1931500.png,LUMINOR-DUE,PAM00926,6900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam00964-luminor-due-gmt-power-reserve---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/4/1934354.png,LUMINOR-DUE,PAM00964,11900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam01046-luminor-due---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/5/1934355.png,LUMINOR-DUE,PAM01046,6400.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam01043-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/6/1934356.png,LUMINOR-DUE,PAM01043,6100.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam01045-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/7/1934357.png,LUMINOR-DUE,PAM01045,15400.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01037-luminor-luna-rossa-chrono-flyback---44mm.html,https://www.panerai.com/content/dam/rcq/pan/19/58/84/7/1958847.png,LUMINOR,PAM01037,17500.0,EUR,France,December 2021
