Growth Rate (%),CAGR (%)
16.320528211284515,3.8510569890175095
-3.198653198653198,-0.9602991932594618
0.3623188405797091,-0.06032138394795328
13.497169325784867,3.21428536818007
13.869463869463871,3.2991284815072297
1.3946474155732238,0.203904024374435
12.740775121838013,3.034689045584116
12.61574074074074,3.0111526105323416
12.61574074074074,3.0111526105323416
15.14000949216896,3.5862810529147082
11.678370786516854,2.7931712255289343
10.149306789904017,2.437724516383133
9.965118122720787,2.3948994409318747
13.906944215896,3.306513983566284
10.620099786172487,2.550779780843504
11.631944444444445,2.7851743182061517
9.760061919504645,2.347413798080289
11.678370786516854,2.7931712255289343
11.922503725782414,2.8497608569644117
13.075657894736842,3.1149369844173713
11.922503725782414,2.8497608569644117
12.043719926995188,2.8759012728883926
12.211466865227102,2.922106072727748
12.211466865227102,2.922106072727748
12.211466865227102,2.922106072727748
9.69449485783424,2.3376044667730245
9.760061919504645,2.347413798080289
9.760061919504645,2.347413798080289
19.531590413943356,4.528148444494462
