collection,reference,price,currency,country,year,price_USD,price_USD_median,Price Difference,Difference Rate (%)
Luminor,PAM00422,11500,€,France,2025,12416.55,11970.322499999998,446.2275000000009,3.7277817702906577
Luminor,PAM00422,1705000,￥,Japan,2025,11524.095,11970.322499999998,-446.22749999999905,-3.7277817702906426
Luminor,PAM00422,9800,£,UK,2025,12627.3,11970.322499999998,656.9775000000009,5.4883859645385575
Luminor,PAM00422,11300,$,USA,2025,11300.0,11970.322499999998,-670.3224999999984,-5.599870011856392
Luminor,PAM00670,24500,€,France,2025,26452.65,25493.91,958.7400000000016,3.7606628406548923
Luminor,PAM00670,3630000,￥,Japan,2025,24535.17,25493.91,-958.7400000000016,-3.7606628406548923
Luminor,PAM00670,20700,£,UK,2025,26671.95,25493.91,1178.0400000000009,4.620868277953444
Luminor,PAM00670,24000,$,USA,2025,24000.0,25493.91,-1493.9099999999999,-5.859870063085654
Luminor,PAM00715,72000,€,France,2025,77738.40000000001,68251.917,9486.483000000007,13.89921839118454
Luminor,PAM00715,10626000,￥,Japan,2025,71821.134,68251.917,3569.217000000004,5.229475092985306
Luminor,PAM00715,50200,£,UK,2025,64682.7,68251.917,-3569.217000000004,-5.229475092985306
Luminor,PAM00715,62400,$,USA,2025,62400.0,68251.917,-5851.917000000001,-8.573996536976392
Luminor,PAM00742,52000,€,France,2025,56144.40000000001,49334.076,6810.324000000008,13.80450299707652
Luminor,PAM00742,7678000,￥,Japan,2025,51895.602,49334.076,2561.525999999998,5.192204268708708
Luminor,PAM00742,36300,£,UK,2025,46772.55,49334.076,-2561.525999999998,-5.192204268708708
Luminor,PAM00742,45100,$,USA,2025,45100.0,49334.076,-4234.076000000001,-8.582457285710593
Radiomir,PAM00760,19000,€,France,2025,20514.300000000003,19773.822,740.4780000000028,3.7447388774916797
Radiomir,PAM00760,2816000,￥,Japan,2025,19033.344,19773.822,-740.4779999999992,-3.7447388774916615
Radiomir,PAM00760,16100,£,UK,2025,20744.85,19773.822,971.0279999999984,4.910674324872543
