reference,year,image_url,collection,brand,country,price,product_url,currency,name,availability,currency_code,price_JPY,price_USD,price_GBP,price_EUR
PAM01087,2025,https://www.panerai.com/content/dam/rcq/pan/ly/Km/5Y/vf/ZE/Cs/Sd/0o/pV/X4/nA/lyKm5YvfZECsSd0opVX4nA.png,Luminor,PANERAI,USA,5600,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01087-luminor-base-logo.html,$,Luminor Base Logo,Available,USD,843194.8,5600.0,4446.400000000001,5391.68
PAM01086,2025,https://www.panerai.com/content/dam/rcq/pan/eO/-Y/kP/44/So/Ki/ps/Ho/yr/yZ/ow/eO-YkP44SoKipsHoyryZow.png,Luminor,PANERAI,USA,5600,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01086-luminor-base-logo.html,$,Luminor Base Logo,Available,USD,843194.8,5600.0,4446.400000000001,5391.68
PAM01084,2025,https://www.panerai.com/content/dam/rcq/pan/20/83/65/0/2083650.png,Luminor,PANERAI,USA,6100,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01084-luminor-logo.html,$,Luminor Logo,Available,USD,918480.05,6100.0,4843.400000000001,5873.08
PAM01085,2025,https://www.panerai.com/content/dam/rcq/pan/20/61/23/0/2061230.png,Luminor,PANERAI,USA,6100,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01085-luminor-logo.html,$,Luminor Logo ,Available,USD,918480.05,6100.0,4843.400000000001,5873.08
PAM01624,2025,https://www.panerai.com/content/dam/rcq/pan/RP/Oi/dq/A6/SZ/yy/aM/v3/sX/4-/9w/RPOidqA6SZyyaMv3sX4-9w.png,Luminor,PANERAI,USA,6100,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01624-luminor-logo.html,$,Luminor Logo,Available,USD,918480.05,6100.0,4843.400000000001,5873.08
PAM01628,2025,https://www.panerai.com/content/dam/rcq/pan/Hk/Ga/VG/Yo/Tk/KS/Jy/rN/sE/Nq/_Q/HkGaVGYoTkKSJyrNsENq_Q.png,Luminor,PANERAI,USA,10500,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01628-luminor-tre-giorni.html,$,Luminor Tre Giorni,Out of Stock,USD,1580990.25,10500.0,8337.0,10109.4
PAM00914,2025,https://www.panerai.com/content/dam/rcq/pan/19/76/97/9/1976979.png,Luminor,PANERAI,USA,7100,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00914-luminor-8-giorni.html,$,Luminor 8 Giorni,Available,USD,1069050.55,7100.0,5637.400000000001,6835.88
PAM00915,2025,https://www.panerai.com/content/dam/rcq/pan/19/76/97/7/1976977.png,Luminor,PANERAI,USA,7600,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00915-luminor-8-giorni.html,$,Luminor 8 Giorni,Available,USD,1144335.8,7600.0,6034.400000000001,7317.28
PAM01655,2025,https://www.panerai.com/content/dam/rcq/pan/O8/G5/Gh/c9/Rx/-F/WM/TF/KB/r1/wQ/O8G5Ghc9Rx-FWMTFKBr1wQ.png,Luminor,PANERAI,USA,8100,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01655-luminor-destro-otto-giorni.html,$,Luminor Destro Otto Giorni,Available,USD,1219621.05,8100.0,6431.400000000001,7798.68
PAM00422,2025,https://www.panerai.com/content/dam/rcq/pan/79/27/56/792756.png,Luminor,PANERAI,USA,11300,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00422-luminor-marina.html,$,Luminor Marina,Out of Stock,USD,1701446.6500000001,11300.0,8972.2,10879.64
