reference,year,image_url,collection,brand,country,price,product_url,currency,name,availability,currency_code,price_JPY,price_USD,price_GBP,price_EUR
PAM01688,2025,https://www.panerai.com/content/dam/rcq/pan/jn/Ma/k1/Ej/TF/Od/9e/BI/Oo/Jx/ww/jnMak1EjTFOd9eBIOoJxww.png,Luminor,PANERAI,USA,45900,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01688-luminor-perpetual-calendar-goldtech.html,$,Luminor Perpetual Calendar Goldtech™,Out of Stock,USD,6911185.95,45900.0,36444.6,44192.52
PAM00670,2025,https://www.panerai.com/content/dam/rcq/pan/14/08/20/0/1408200.png,Luminor,PANERAI,USA,24000,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00670-luminor-equation-of-time-gmt-titanio.html,$,Luminor Equation of Time GMT Titanio,Available,USD,3613692.0000000005,24000.0,19056.0,23107.2
PAM01060,2025,https://www.panerai.com/content/dam/rcq/pan/21/64/94/7/2164947.png,Luminor,PANERAI,USA,163700,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01060-luminor-tourbillon-gmt.html,$,Luminor Tourbillon GMT,Out of Stock,USD,24648390.85,163700.0,129977.8,157610.36
PAM00920,2025,https://www.panerai.com/content/dam/rcq/pan/16/49/88/2/1649882.png,Luminor,PANERAI,USA,233800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00920-luminor-tourbillon-moon-phases-equation-of-time-gmt--la.html,$,Luminor Tourbillon Moon Phases Equation of Time GMT - L’Astronomo,Out of Stock,USD,35203382.900000006,233800.0,185637.2,225102.63999999998
PAM01565,2025,https://www.panerai.com/content/dam/rcq/pan/eF/U8/Cs/i-/Rm/iU/J8/g-/RV/zu/FQ/eFU8Csi-RmiUJ8g-RVzuFQ.png,Submersible,PANERAI,USA,11300,https://www.panerai.com/us/en/collections/watch-collection/submersible/pam01565-submersible-luna-rossa.html,$,Submersible Luna Rossa,Available,USD,1701446.6500000001,11300.0,8972.2,10879.64
PAM01579,2025,https://www.panerai.com/content/dam/rcq/pan/s3/TK/qr/fW/Qd/S3/Ae/7p/RH/lM/0A/s3TKqrfWQdS3Ae7pRHlM0A.png,Submersible,PANERAI,USA,11000,https://www.panerai.com/us/en/collections/watch-collection/submersible/pam01579-submersible-luna-rossa.html,$,Submersible Luna Rossa,Available,USD,1656275.5,11000.0,8734.0,10590.8
PAM01507,2025,https://www.panerai.com/content/dam/rcq/pan/ix/02/wr/hb/T0/Kj/JT/tX/DQ/H-/VQ/ix02wrhbT0KjJTtXDQH-VQ.png,Submersible,PANERAI,USA,12300,https://www.panerai.com/us/en/collections/watch-collection/submersible/pam01507-submersible-gmt-luna-rossa-titanio.html,$,Submersible GMT Luna Rossa Titanio,Available,USD,1852017.1500000001,12300.0,9766.2,11842.44
PAM01563,2025,https://www.panerai.com/content/dam/rcq/pan/nL/cF/Gj/Cp/SW/WO/2g/bX/qa/wF/qw/nLcFGjCpSWWO2gbXqawFqw.png,Submersible,PANERAI,USA,18100,https://www.panerai.com/us/en/collections/watch-collection/submersible/pam01563-submersible-luna-rossa-carbotech.html,$,Submersible Luna Rossa Carbotech™,Out of Stock,USD,2725326.0500000003,18100.0,14371.400000000001,17426.68
PAM01543,2025,https://www.panerai.com/content/dam/rcq/pan/8W/58/Pm/8p/Sm/Cb/bP/rt/oR/9j/Yg/8W58Pm8pSmCbbPrtoR9jYg.png,Submersible,PANERAI,USA,16600,https://www.panerai.com/us/en/collections/watch-collection/submersible/pam01543-submersible-quarantaquattro-luna-rossa-ti-ceramitech.html,$,Submersible QuarantaQuattro Luna Rossa Ti-Ceramitech™,Available,USD,2499470.3000000003,16600.0,13180.400000000001,15982.48
PAM01466,2025,https://www.panerai.com/content/dam/rcq/pan/pv/nm/Af/Bx/RC/Ca/gf/sN/AQ/o3/LQ/pvnmAfBxRCCagfsNAQo3LQ.png,Submersible,PANERAI,USA,16600,https://www.panerai.com/us/en/collections/watch-collection/submersible/pam01466-submersible-quarantaquattro-luna-rossa-ti-ceramitech.html,$,Submersible QuarantaQuattro Luna Rossa Ti-Ceramitech™,Available,USD,2499470.3000000003,16600.0,13180.400000000001,15982.48
