product_url,price,year,collection,reference,country,currency,image_url,brand,name,availability,currency_code,price_JPY,price_GBP,price_EUR,price_USD
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01570-radiomir-quaranta.html,6000.0,2025,Radiomir,PAM01570,USA,$,https://www.panerai.com/content/dam/rcq/pan/km/si/mL/Jw/F0/i4/ti/6H/nA/8r/_Q/kmsimLJwF0i4ti6HnA8r_Q.png,PANERAI,Radiomir Quaranta,Available,USD,898790.9999999999,4752.6,5757.6,6000.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01571-radiomir-quaranta.html,6000.0,2025,Radiomir,PAM01571,USA,$,https://www.panerai.com/content/dam/rcq/pan/Ot/NA/-H/39/uE/Kv/rR/oH/H4/S8/hQ/OtNA-H39uEKvrRoHH4S8hQ.png,PANERAI,Radiomir Quaranta,Available,USD,898790.9999999999,4752.6,5757.6,6000.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01572-radiomir-quaranta.html,6000.0,2025,Radiomir,PAM01572,USA,$,https://www.panerai.com/content/dam/rcq/pan/lz/DC/dU/3y/d0/iv/7I/zD/o2/1G/Ow/lzDCdU3yd0iv7IzDo21GOw.png,PANERAI,Radiomir Quaranta,Available,USD,898790.9999999999,4752.6,5757.6,6000.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01573-radiomir-quaranta.html,6000.0,2025,Radiomir,PAM01573,USA,$,https://www.panerai.com/content/dam/rcq/pan/iY/f-/Ui/M1/wU/mo/nm/OC/S1/l_/kA/iYf-UiM1wUmonmOCS1l_kA.png,PANERAI,Radiomir Quaranta,Available,USD,898790.9999999999,4752.6,5757.6,6000.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01385-radiomir-officine.html,5400.0,2025,Radiomir,PAM01385,USA,$,https://www.panerai.com/content/dam/rcq/pan/bc/NG/dJ/yn/8E/S9/WC/7R/lJ/b5/FA/bcNGdJyn8ES9WC7RlJb5FA.png,PANERAI,Radiomir Officine,Out of Stock,USD,808911.8999999999,4277.34,5181.84,5400.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01384-radiomir-officine.html,5400.0,2025,Radiomir,PAM01384,USA,$,https://www.panerai.com/content/dam/rcq/pan/jM/Vd/8j/GV/v0/mK/Qt/r0/gL/SM/MA/jMVd8jGVv0mKQtr0gLSMMA.png,PANERAI,Radiomir Officine,Available,USD,808911.8999999999,4277.34,5181.84,5400.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01383-radiomir-officine.html,4900.0,2025,Radiomir,PAM01383,USA,$,https://www.panerai.com/content/dam/rcq/pan/VZ/vB/8C/mR/E0/-8/ZC/8P/mN/A9/Qg/VZvB8CmRE0-8ZC8PmNA9Qg.png,PANERAI,Radiomir Officine,Available,USD,734012.6499999999,3881.29,4702.04,4900.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01382-radiomir-officine.html,4900.0,2025,Radiomir,PAM01382,USA,$,https://www.panerai.com/content/dam/rcq/pan/Ku/v1/KD/o5/Rb/Gp/9m/Wf/ki/Al/cA/Kuv1KDo5RbGp9mWfkiAlcA.png,PANERAI,Radiomir Officine,Available,USD,734012.6499999999,3881.29,4702.04,4900.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01334-radiomir-tre-giorni.html,7100.0,2025,Radiomir,PAM01334,USA,$,https://www.panerai.com/content/dam/rcq/pan/gF/8W/6q/zc/WU/WL/kh/SC/cT/uT/ww/gF8W6qzcWUWLkhSCcTuTww.png,PANERAI,Radiomir Tre Giorni,Available,USD,1063569.3499999999,5623.91,6813.16,7100.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01335-radiomir-tre-giorni.html,7100.0,2025,Radiomir,PAM01335,USA,$,https://www.panerai.com/content/dam/rcq/pan/7w/I2/13/Xb/BE/Ga/MS/Z8/Y5/UA/Uw/7wI213XbBEGaMSZ8Y5UAUw.png,PANERAI,Radiomir Tre Giorni,Available,USD,1063569.3499999999,5623.91,6813.16,7100.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01350-radiomir-tre-giorni.html,7100.0,2025,Radiomir,PAM01350,USA,$,https://www.panerai.com/content/dam/rcq/pan/mC/bG/Av/li/W0/6q/58/sB/Gm/l_/1w/mCbGAvliW06q58sBGml_1w.png,PANERAI,Radiomir Tre Giorni,Available,USD,1063569.3499999999,5623.91,6813.16,7100.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01347-radiomir-otto-giorni.html,9700.0,2025,Radiomir,PAM01347,USA,$,https://www.panerai.com/content/dam/rcq/pan/sq/bR/W6/SN/-E/CF/th/-B/Zw/5b/tA/sqbRW6SN-ECFth-BZw5btA.png,PANERAI,Radiomir Otto Giorni,Available,USD,1453045.45,7683.37,9308.12,9700.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01348-radiomir-otto-giorni.html,9700.0,2025,Radiomir,PAM01348,USA,$,https://www.panerai.com/content/dam/rcq/pan/4-/XO/xe/EC/K0/KB/TY/Ck/p1/Pc/dA/4-XOxeECK0KBTYCkp1PcdA.png,PANERAI,Radiomir Otto Giorni,Out of Stock,USD,1453045.45,7683.37,9308.12,9700.0
https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01349-radiomir-california.html,12300.0,2025,Radiomir,PAM01349,USA,$,https://www.panerai.com/content/dam/rcq/pan/Or/cO/lA/rx/8k/-r/vp/Xi/gX/X4/Lg/OrcOlArx8k-rvpXigXX4Lg.png,PANERAI,Radiomir California,Available,USD,1842521.5499999998,9742.83,11803.08,12300.0
