brand,url,image_url,collection,reference,price,currency,country,year,price_EUR,price_GBP,price_USD,price_JPY
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00655-radiomir---42mm.html,https://www.panerai.com/content/dam/rcq/pan/10/57/21/3/1057213.png,RADIOMIR,PAM00655,9700.0,EUR,France,2021,9700.0,8009.29,10074.42,1516928.68
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00628-radiomir-gmt-power-reserve---45mm.html,https://www.panerai.com/content/dam/rcq/pan/11/07/28/4/1107284.png,RADIOMIR,PAM00628,11600.0,EUR,France,2021,11600.0,9578.119999999999,12047.76,1814059.04
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00657-radiomir-gmt---45mm.html,https://www.panerai.com/content/dam/rcq/pan/11/07/28/8/1107288.png,RADIOMIR,PAM00657,11400.0,EUR,France,2021,11400.0,9412.98,11840.039999999999,1782782.16
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00661-luminor-marina-carbotech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/13/33/01/2/1333012.png,LUMINOR,PAM00661,11900.0,EUR,France,2021,11900.0,9825.83,12359.34,1860974.36
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01312-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/13/33/02/4/1333024.png,LUMINOR,PAM01312,7900.0,EUR,France,2021,7900.0,6523.03,8204.94,1235436.76
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01499-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/13/33/03/0/1333030.png,LUMINOR,PAM01499,7900.0,EUR,France,2021,7900.0,6523.03,8204.94,1235436.76
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01523-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/13/33/03/1/1333031.png,LUMINOR,PAM01523,7700.0,EUR,France,2021,7700.0,6357.89,7997.219999999999,1204159.88
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00670-luminor-equation-of-time---47mm.html,https://www.panerai.com/content/dam/rcq/pan/14/08/20/0/1408200.png,LUMINOR,PAM00670,21900.0,EUR,France,2021,21900.0,18082.829999999998,22745.34,3424818.36
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01389-submersible-amagnetic---47mm.html,https://www.panerai.com/content/dam/rcq/pan/14/62/62/2/1462622.png,SUBMERSIBLE,PAM01389,11500.0,EUR,France,2021,11500.0,9495.55,11943.9,1798420.6
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00692-submersible-bmg-tech---47mm.html,https://www.panerai.com/content/dam/rcq/pan/14/62/62/8/1462628.png,SUBMERSIBLE,PAM00692,13200.0,EUR,France,2021,13200.0,10899.24,13709.52,2064274.08
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01305-submersible---47mm.html,https://www.panerai.com/content/dam/rcq/pan/14/62/63/2/1462632.png,SUBMERSIBLE,PAM01305,9600.0,EUR,France,2021,9600.0,7926.72,9970.56,1501290.24
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01088-luminor-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/14/65/18/5/1465185.png,LUMINOR,PAM01088,7300.0,EUR,France,2021,7300.0,6027.61,7581.78,1141606.12
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01090-luminor-power-reserve---44mm.html,https://www.panerai.com/content/dam/rcq/pan/14/65/18/7/1465187.png,LUMINOR,PAM01090,7500.0,EUR,France,2021,7500.0,6192.75,7789.5,1172883.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00653-luminor-yachts-challenge---44mm.html,https://www.panerai.com/content/dam/rcq/pan/15/25/03/1/1525031.png,LUMINOR,PAM00653,12000.0,EUR,France,2021,12000.0,9908.4,12463.199999999999,1876612.8
